#,time[sec],x,y,z,qx,qy,qz,qw
1678990970.82084,0.807875589925953,-0.0142738835778994,-0.107963206284254,0.0732062948234513,-0.0282813718898254,0.0315950691538592,-0.996414950714518,
1678990970.83084,0.809483448817231,-0.0150618659719088,-0.107901543728015,0.0733981010310125,-0.0280586773785394,0.031806590593465,-0.996400406555331,
1678990970.84084,0.811078660435454,-0.0158580601525752,-0.107811001099416,0.0735798334390115,-0.0278491454372481,0.0319484317496407,-0.996388343427522,
1678990970.85084,0.812689982850968,-0.0166649138675088,-0.107704504876895,0.0737683567320246,-0.0276318678745631,0.0320414997167702,-0.996377464477554,
1678990970.86084,0.81436201346754,-0.0175196539542354,-0.107527235741743,0.0739657682481316,-0.027250231833344,0.0319699299951376,-0.996375638787199,
1678990970.87084,0.816099274311352,-0.0182476074702681,-0.107423764315301,0.0741644120995926,-0.0270900273184141,0.0319381056169595,-0.996366261877333,
1678990970.88084,0.817923482739081,-0.0189690666560604,-0.107334144690709,0.0743748343922938,-0.0268551738138302,0.0318943736201233,-0.996358335429542,
1678990970.89084,0.819764375208962,-0.0196851114219476,-0.107256208171523,0.074622829574302,-0.0266480632123731,0.031782520695768,-0.996348927540737,
1678990970.90084,0.821580506230612,-0.0203871821091116,-0.107190518123289,0.0748593040401598,-0.026445820721086,0.0315794518113203,-0.996343033993969,
1678990970.91084,0.823347343609988,-0.0210934051425128,-0.107128796288881,0.0751098987737853,-0.026239695447376,0.0313373069282576,-0.996337269544558,
1678990970.92084,0.825072478788478,-0.021831356975513,-0.107062368287094,0.07538590744947,-0.0260154006780205,0.0310461879467981,-0.99633141980947,
1678990970.93084,0.826718568121393,-0.0225447687020283,-0.106972676753153,0.0756248118630986,-0.0258155174406033,0.030666607988266,-0.996330269561474,
1678990970.94084,0.828331592822191,-0.0232684715818676,-0.106861657193641,0.0758693253880463,-0.0255887560797556,0.0302314153870872,-0.996330829870855,
1678990970.95084,0.829958288253168,-0.023998743423528,-0.106731049238832,0.0761159861672213,-0.0253968573977093,0.0297596860594647,-0.996331128375378,
1678990970.96084,0.831882623788667,-0.0245492011785921,-0.106393736083392,0.0763397593653971,-0.0252577520009397,0.0290386937019059,-0.996338818561226,
1678990970.97084,0.833724841921043,-0.0252101399487448,-0.106253579251412,0.0766332942527196,-0.0250597868705716,0.0284866598369746,-0.99633721977316,
1678990970.98084,0.835606647780162,-0.0258463938108722,-0.106108975146591,0.0769164221485167,-0.0248608994613427,0.0279268573198619,-0.996336233568809,
1678990970.99084,0.837481180259235,-0.0264634082002641,-0.105985887667667,0.0772059204413996,-0.0246740644505557,0.0272784499496652,-0.996336450482782,
1678990971.00084,0.83934910038787,-0.0270599897007306,-0.105865194097724,0.0775089595602855,-0.0245012917075813,0.0265879894152636,-0.996335850359404,
1678990971.01084,0.841192265519098,-0.0276491747842419,-0.105755304253624,0.0777992719657667,-0.0243038417331389,0.0258346551434744,-0.996337878007368,
1678990971.02084,0.842952815129265,-0.0282312258888678,-0.105672123790533,0.0781043549444156,-0.0240974499917226,0.0250158611161063,-0.996339916562231,
1678990971.03084,0.844647021499379,-0.0287872152942634,-0.105576167781181,0.0783919875656127,-0.0238948948379841,0.0241168556083832,-0.996344371972743,
1678990971.04084,0.846304211958686,-0.0293507019437263,-0.105480225165109,0.0786669787605158,-0.0236909610092092,0.0232132934776216,-0.996349029118348,
1678990971.05084,0.847963949112879,-0.0299051810437858,-0.105395825841576,0.0789625438861355,-0.0234924888353635,0.0223000295739014,-0.996351207312137,
1678990971.06084,0.850005766310417,-0.030375994941545,-0.105161938803309,0.0792638742219412,-0.0236722699181713,0.0209793280364897,-0.996351709827101,
1678990971.07084,0.851834270438781,-0.0309288897784429,-0.10505515132935,0.0795520335809694,-0.0234886564867957,0.0200987277184773,-0.99635124234061,
1678990971.08084,0.853713878321233,-0.0314705054685652,-0.104932177632327,0.0798359761273818,-0.0233168528369027,0.0192739689264119,-0.996348862302454,
1678990971.09084,0.85557135116718,-0.0320140663925858,-0.104827596916553,0.080106868110373,-0.0231387648285231,0.0184527953356205,-0.996346817924391,
1678990971.10084,0.857385041820817,-0.0325983321314442,-0.104758032305474,0.0803816203561171,-0.02294622683432,0.0176587816467156,-0.996343531726757,
1678990971.11084,0.859146741867751,-0.0332083930701741,-0.104696745138537,0.0806488538697523,-0.0227911742213047,0.0168468562722622,-0.996339554660383,
1678990971.12084,0.860839070049995,-0.0338341615744151,-0.10464744160765,0.0808814703496436,-0.0225784598497164,0.0160877539271234,-0.996338087738532,
1678990971.13084,0.862453907846059,-0.0344762011334102,-0.104589579540421,0.0810976248892662,-0.0223918078278424,0.0152790744270046,-0.996337458928538,
1678990971.14084,0.863995826850411,-0.0351288243715778,-0.104546195659723,0.0813105688507281,-0.0221929104336702,0.0145367385426123,-0.996335660985894,
1678990971.15084,0.865492412733211,-0.0357763116313096,-0.104534177467299,0.0815259028904237,-0.0220397620193478,0.0137922816166652,-0.996332047570406,
