Time,Orientation Speed In Current Wobj,Speed In Current Wobj,Maximum Linear Acceleration In World,Orientation\Q1 In Current Wobj,Orientation\Q2 In Current Wobj,Orientation\Q3 In Current Wobj,Orientation\Q4 In Current Wobj,Position\X Position In Current Wobj,Position\Y Position In Current Wobj,Position\Z Position In Current Wobj
52.739,135.005136643879,675.770342350006,11646.5167999268,0.641427576541901,0.136999920010567,-0.749127328395844,-0.0927899181842804,274.606615304947,783.535361289978,-1580.10756969452
52.763,142.676395308287,634.892106056213,8125.32329559326,0.642856538295746,0.121246501803398,-0.752768635749817,-0.0733084827661514,273.49916100502,795.963048934937,-1577.49426364899
52.787,128.586616635521,509.701073169708,8125.32329559326,0.643473863601685,0.104000851511955,-0.756573796272278,-0.0521667748689651,272.344827651978,808.167159557343,-1575.34921169281
52.811,116.442868140318,424.384236335754,8125.32329559326,0.643317699432373,0.088813841342926,-0.759683847427368,-0.0336876735091209,271.357327699661,818.047523498535,-1573.89843463898
52.836,123.049450577283,415.609925985336,8125.32329559326,0.642470836639404,0.0723925977945328,-0.762757480144501,-0.0138419009745121,270.32396197319,827.953577041626,-1572.7037191391
52.86,132.925685551068,414.687097072601,8125.32329559326,0.640483677387238,0.0516671203076839,-0.766152739524841,0.0110053401440382,269.065499305725,839.533746242523,-1571.60532474518
52.884,141.561735756497,414.592832326889,8125.32329559326,0.637812793254852,0.0325571931898594,-0.768764078617096,0.0337136499583721,267.947614192963,849.475026130676,-1570.880651474
52.908,150.254216984849,414.485454559326,8125.32329559326,0.634140253067017,0.0121935224160552,-0.770965874195099,0.0576987229287624,266.800731420517,859.421372413635,-1570.32644748688
52.932,154.693717001952,414.391100406647,8125.32329559326,0.629567921161652,-0.00886348262429237,-0.772520422935486,0.0823274031281471,265.641182661057,869.367241859436,-1569.84627246857
52.957,155.196241339947,414.457857608795,8125.32329559326,0.624315083026886,-0.0299206972122192,-0.773248434066772,0.106875024735928,264.483511447906,879.315316677094,-1569.3678855896
52.981,159.067551580375,416.084408760071,8125.32329559326,0.617936432361603,-0.0516234338283539,-0.773406624794006,0.131650194525719,263.640016317368,889.345109462738,-1569.08524036407
53.005,169.075745808925,415.348947048187,8125.32329559326,0.609729826450348,-0.0749555304646492,-0.773207664489746,0.157356753945351,263.702839612961,899.386286735535,-1569.36967372894
53.029,186.216064549937,413.313686847687,8125.32329559326,0.598852574825287,-0.100882083177567,-0.772681713104248,0.184827834367752,265.516430139542,909.092485904694,-1570.73140144348
53.053,185.722228212566,385.657370090485,3850.43048858643,0.585613608360291,-0.127418398857117,-0.772041141986847,0.211597949266434,269.970893859863,916.782259941101,-1573.69017601013
